fund_name,report_date,financial_type,symbol,security_name,isin,price,quantity,realised_pl,market_value,equity_id,actual_eod_price,is_price_matched,price_break
Belaware,2022-08-31,Equities,A,Agilent Technologies,,127.39,1032.8463859786154,-37.897045,131574.3,A,127.39,True,0.0
Magnum,2022-08-31,Equities,A,Agilent Technologies,,127.39,167887.88460703497,-33368.355,21387238.0,A,127.39,True,0.0
Magnum,2022-09-30,Equities,A,Agilent Technologies,,120.73,164211.1399341409,-122435.59,19825210.0,A,120.73,True,0.0
Belaware,2022-09-30,Equities,A,Agilent Technologies,,120.73,1020.7620832626656,-402.4073,123236.61,A,120.73,True,0.0
Belaware,2022-10-31,Equities,A,Agilent Technologies,,137.66,1038.320471824302,-1486.3176,142935.2,A,151.426,False,-13.765991
Magnum,2022-10-31,Equities,A,Agilent Technologies,,137.66,172890.9435683246,-734745.4,23800168.0,A,151.426,False,-13.765991
Magnum,2022-11-30,Equities,A,Agilent Technologies,,154.2,163287.7565688022,794183.56,25178972.0,A,154.2,True,0.0
Belaware,2022-11-30,Equities,A,Agilent Technologies,,154.2,1004.9595335571928,2758.9497,154964.77,A,154.2,True,0.0
Belaware,2022-12-31,Equities,A,Agilent Technologies,,149.12,1028.095292603114,587.64825,153309.56,A,149.12,True,0.0
Magnum,2022-12-31,Equities,A,Agilent Technologies,,149.12,166427.26001095376,79743.39,24817634.0,A,149.12,True,0.0
Belaware,2023-01-31,Equities,A,Agilent Technologies,,151.54,1028.3018618803096,-2.4994884,155828.86,A,151.54,True,0.0
Magnum,2023-01-31,Equities,A,Agilent Technologies,,151.54,167149.17791476403,-8735.207,25329786.0,A,151.54,True,0.0
Belaware,2023-02-28,Equities,A,Agilent Technologies,,141.47,1060.8365230386355,1638.1202,150076.55,A,141.47,True,0.0
Magnum,2023-02-28,Equities,A,Agilent Technologies,,141.47,172555.16779911055,272191.6,24411380.0,A,141.47,True,0.0
Magnum,2023-03-31,Equities,A,Agilent Technologies,,137.85,169415.664356959,-56825.01,23353950.0,A,137.85,True,0.0
Belaware,2023-03-31,Equities,A,Agilent Technologies,,137.85,1044.414265501576,-297.24286,143972.5,A,137.85,True,0.0
Belaware,2023-04-30,Equities,A,Agilent Technologies,,135.17,1042.5551420068143,-24.912254,140922.17,A,135.17,True,0.0
Magnum,2023-04-30,Equities,A,Agilent Technologies,,135.17,172068.2929337501,35545.223,23258472.0,A,135.17,True,0.0
Belaware,2023-05-31,Equities,A,Agilent Technologies,,115.45,1016.2175591643596,-2596.8857,117322.32,A,115.45,True,0.0
Magnum,2023-05-31,Equities,A,Agilent Technologies,,115.45,166930.92366477486,-506544.62,19272176.0,A,115.45,True,0.0
Magnum,2023-06-30,Equities,A,Agilent Technologies,,120.25,171178.48714533285,-101941.52,20584214.0,A,120.25,True,0.0
Belaware,2023-06-30,Equities,A,Agilent Technologies,,120.25,1045.3438272489566,-699.03046,125702.59,A,120.25,True,0.0
